project,commit
apache/commons-collections,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47
dianping/cat,2aeb6bc786053468193c9beec59047d19887f898
junit-team/junit4,64155f8a9babcfcf4263cf4d08253a1556e75481
google/gson,f649e051411e092f0123878e16c5132500a2d01e
oracle/opengrok,c1fa2a0f567862f53b8c458e30ac0fa8bdccdc86
google/closure-compiler,88de6e2befb0625c39f47c628fe28e0685711c19
alibaba/fastjson,ea90a08196740a8bbcddc902ba31c67303bf2a9b
JodaOrg/joda-beans,bb1fd39e52bfb865cc36143e61e4bbc01676a29d
checkstyle/checkstyle,d9e6db4de7c713616d1a6165adf1c7819ac733e0
square/javapoet,a5db06d05f8bd799cef194af28ace07427e2d07e
apache/commons-lang,eb5b11a25c9e61f9b25a540682816ebb103b735c
jfree/jfreechart,fd72df7cc159ada0f5865389a55969507ed3a123
apache/commons-math,16abfe5de688cc52fb0396e0609cb33044b15653
apache/commons-beanutils,a83c1eae04c9c99360c3ba4e6a46fd89dc5407ef
ReactiveX/RxJava,be0353cc6334fbb60a285f2f4f4ba88150f099e6
jhy/jsoup,2b1ea0633ff5d4cba5db0e202a4ce0fbdccc19db
google/guice,86a88f0728ca477b4e33e3c1cb042e0ec02f2feb
apache/commons-io,2ae025fe5c4a7d2046c53072b0898e37a079fe62
