metrics,rel,d-value
line_coverage,-,0.88 (large)
isAssertionRoulette,+,0.22 (small)
isEagerTest,+,0.19 (small)
LOC_prod,+,0.38 (medium)
HALSTEAD_prod,+,0.28 (small)
RFC_prod,+,0.39 (medium)
CBO_prod,+,0.32 (small)
MPC_prod,+,0.35 (medium)
DAC_prod,+,0.19 (small)
DAC2_prod,+,0.22 (small)
LCOM1_prod,+,0.36 (medium)
LCOM2_prod,+,0.24 (small)
LCOM3_prod,+,0.35 (medium)
LCOM4_prod,+,0.37 (medium)
LCOM5_prod,+,0.2 (small)
TCC_prod,+,0.32 (small)
LCC_prod,+,0.37 (medium)
WMC_prod,+,0.4 (medium)
NOA_prod,+,0.2 (small)
NOP_prod,+,0.23 (small)
McCABE_prod,+,0.41 (medium)
BUSWEIMER_prod,-,0.15 (small)
RFC_test,-,0.2 (small)
MPC_test,-,0.17 (small)
LCOM1_test,-,0.25 (small)
LCOM2_test,-,0.23 (small)
LCC_test,-,0.24 (small)
WMC_test,-,0.27 (small)
McCABE_test,-,0.28 (small)
csm_MC,+,0.26 (small)
csm_FE,+,0.26 (small)
